Chroma Features Analysis
=======================

Time-based chroma intensities:
T	C	C#	D	D#	E	F	F#	G	G#	A	A#	B
26.06	0.793	0.459	0.298	0.337	0.338	0.303	0.353	0.463	0.324	0.354	0.420	1.000	B
26.07	0.873	0.513	0.328	0.362	0.373	0.326	0.368	0.509	0.354	0.379	0.451	1.000	B
26.08	0.960	0.572	0.362	0.394	0.411	0.352	0.384	0.559	0.385	0.407	0.488	1.000	B
26.09	1.000	0.600	0.377	0.413	0.432	0.364	0.388	0.586	0.399	0.417	0.503	0.948	C
27.01	0.187	0.239	0.285	0.260	1.000	0.278	0.241	0.290	0.227	0.131	0.190	0.171	E
27.02	0.199	0.251	0.299	0.276	1.000	0.299	0.254	0.314	0.246	0.137	0.198	0.182	E
27.03	0.216	0.265	0.319	0.294	1.000	0.335	0.267	0.350	0.275	0.157	0.207	0.196	E
27.04	0.231	0.277	0.334	0.309	1.000	0.354	0.287	0.385	0.280	0.164	0.219	0.207	E
27.05	0.238	0.284	0.343	0.317	1.000	0.360	0.328	0.401	0.293	0.154	0.225	0.213	E
27.06	0.249	0.293	0.351	0.329	1.000	0.359	0.337	0.416	0.291	0.155	0.234	0.222	E
27.07	0.261	0.301	0.360	0.340	1.000	0.359	0.333	0.430	0.297	0.159	0.241	0.233	E
27.08	0.269	0.303	0.362	0.342	1.000	0.360	0.360	0.446	0.292	0.157	0.244	0.244	E
27.09	0.273	0.302	0.359	0.339	1.000	0.358	0.380	0.450	0.298	0.158	0.248	0.252	E
28.00	0.990	0.635	0.483	1.000	0.704	0.415	0.567	0.724	0.404	0.176	0.203	0.629	D#
28.01	1.000	0.635	0.487	0.998	0.682	0.408	0.581	0.738	0.405	0.174	0.198	0.630	C
28.02	1.000	0.629	0.485	0.988	0.656	0.402	0.590	0.747	0.404	0.170	0.195	0.631	C
28.03	1.000	0.622	0.481	0.976	0.632	0.397	0.600	0.755	0.403	0.169	0.194	0.636	C
28.04	1.000	0.614	0.474	0.963	0.611	0.395	0.610	0.761	0.401	0.168	0.192	0.644	C
28.05	1.000	0.605	0.465	0.946	0.589	0.392	0.620	0.765	0.397	0.168	0.190	0.656	C
28.06	1.000	0.595	0.455	0.929	0.569	0.391	0.631	0.771	0.396	0.168	0.189	0.672	C
28.07	1.000	0.583	0.444	0.914	0.552	0.389	0.644	0.777	0.396	0.170	0.187	0.688	C
28.09	1.000	0.571	0.432	0.902	0.541	0.389	0.660	0.785	0.398	0.173	0.186	0.709	C
28.10	1.000	0.561	0.421	0.892	0.534	0.390	0.677	0.795	0.400	0.177	0.185	0.734	C
29.00	1.000	0.503	0.455	0.540	0.487	0.270	0.545	0.657	0.290	0.220	0.217	0.721	C
29.01	1.000	0.470	0.426	0.519	0.485	0.266	0.547	0.654	0.286	0.217	0.214	0.737	C
29.02	1.000	0.435	0.395	0.495	0.481	0.261	0.547	0.649	0.279	0.214	0.212	0.751	C
29.03	1.000	0.399	0.361	0.470	0.476	0.256	0.545	0.643	0.272	0.213	0.210	0.763	C
29.05	1.000	0.362	0.327	0.443	0.468	0.251	0.541	0.635	0.264	0.211	0.210	0.771	C
29.06	1.000	0.327	0.293	0.416	0.458	0.246	0.535	0.625	0.255	0.208	0.211	0.776	C
29.07	1.000	0.293	0.259	0.389	0.446	0.239	0.528	0.612	0.246	0.205	0.212	0.778	C
29.08	1.000	0.261	0.226	0.363	0.433	0.232	0.519	0.597	0.236	0.203	0.213	0.774	C
29.09	1.000	0.231	0.195	0.340	0.417	0.223	0.509	0.581	0.225	0.200	0.214	0.765	C
29.10	1.000	0.205	0.169	0.322	0.400	0.215	0.498	0.563	0.214	0.196	0.214	0.751	C
30.01	0.756	0.874	0.625	0.705	0.684	0.631	0.799	0.866	0.461	0.235	0.489	1.000	B
30.02	0.744	0.879	0.627	0.704	0.702	0.625	0.841	0.863	0.481	0.235	0.493	1.000	B
30.03	0.729	0.881	0.620	0.701	0.714	0.623	0.884	0.867	0.501	0.242	0.495	1.000	B
30.04	0.709	0.874	0.619	0.692	0.696	0.606	0.896	0.856	0.498	0.237	0.491	1.000	B
30.05	0.690	0.862	0.605	0.678	0.674	0.591	0.898	0.844	0.503	0.237	0.484	1.000	B
30.06	0.675	0.851	0.598	0.665	0.669	0.575	0.906	0.825	0.507	0.232	0.476	1.000	B
30.07	0.675	0.848	0.594	0.658	0.676	0.587	0.944	0.838	0.489	0.233	0.468	1.000	B
30.08	0.688	0.853	0.590	0.659	0.664	0.625	0.946	0.861	0.493	0.239	0.475	1.000	B
30.09	0.689	0.853	0.582	0.656	0.646	0.654	0.928	0.844	0.500	0.249	0.475	1.000	B
31.01	0.851	0.619	0.426	0.519	1.000	0.438	0.463	0.611	0.329	0.170	0.289	0.621	E
31.02	0.825	0.602	0.410	0.517	1.000	0.432	0.468	0.592	0.308	0.160	0.279	0.628	E
31.03	0.795	0.580	0.393	0.516	1.000	0.423	0.467	0.567	0.291	0.149	0.268	0.630	E
31.04	0.763	0.557	0.377	0.515	1.000	0.416	0.467	0.541	0.275	0.139	0.258	0.629	E
31.05	0.734	0.537	0.362	0.516	1.000	0.409	0.468	0.519	0.258	0.131	0.249	0.626	E
31.06	0.707	0.518	0.348	0.519	1.000	0.403	0.468	0.496	0.243	0.125	0.242	0.620	E
31.07	0.685	0.502	0.333	0.522	1.000	0.401	0.466	0.474	0.229	0.120	0.238	0.612	E
31.08	0.668	0.486	0.319	0.524	1.000	0.401	0.465	0.451	0.216	0.116	0.237	0.602	E
31.09	0.647	0.466	0.305	0.527	1.000	0.402	0.460	0.425	0.203	0.113	0.234	0.587	E
32.00	0.716	0.539	0.570	0.686	0.662	0.335	0.613	0.816	0.257	0.279	0.293	1.000	B
32.01	0.699	0.557	0.600	0.697	0.640	0.324	0.616	0.811	0.256	0.279	0.289	1.000	B
32.02	0.699	0.585	0.644	0.725	0.627	0.319	0.622	0.816	0.260	0.283	0.288	1.000	B
32.03	0.705	0.613	0.697	0.757	0.617	0.315	0.631	0.820	0.262	0.285	0.291	1.000	B
32.04	0.717	0.651	0.761	0.799	0.614	0.318	0.646	0.827	0.263	0.292	0.298	1.000	B
32.05	0.736	0.694	0.846	0.851	0.618	0.327	0.669	0.838	0.270	0.304	0.309	1.000	B
32.06	0.758	0.740	0.944	0.910	0.629	0.347	0.695	0.849	0.281	0.318	0.323	1.000	B
32.07	0.746	0.749	1.000	0.924	0.607	0.344	0.686	0.820	0.266	0.315	0.318	0.954	D
32.09	0.700	0.716	1.000	0.896	0.563	0.329	0.643	0.756	0.247	0.300	0.298	0.863	D
32.10	0.662	0.684	1.000	0.872	0.523	0.316	0.606	0.699	0.226	0.289	0.282	0.785	D
33.00	1.000	0.554	0.326	0.474	0.470	0.370	0.668	0.793	0.309	0.302	0.316	0.806	C
33.01	1.000	0.543	0.313	0.461	0.455	0.357	0.660	0.769	0.295	0.295	0.317	0.815	C
33.02	1.000	0.528	0.298	0.446	0.437	0.343	0.649	0.741	0.279	0.287	0.316	0.817	C
33.03	1.000	0.510	0.283	0.429	0.415	0.329	0.633	0.707	0.260	0.277	0.310	0.810	C
33.05	1.000	0.486	0.267	0.410	0.390	0.313	0.611	0.666	0.239	0.266	0.299	0.794	C
33.06	1.000	0.458	0.251	0.390	0.364	0.295	0.584	0.622	0.215	0.254	0.284	0.768	C
33.07	1.000	0.427	0.238	0.372	0.338	0.276	0.553	0.576	0.189	0.241	0.265	0.734	C
33.08	1.000	0.398	0.228	0.359	0.315	0.261	0.522	0.531	0.165	0.228	0.246	0.696	C
33.09	1.000	0.371	0.220	0.352	0.296	0.249	0.493	0.489	0.147	0.217	0.228	0.660	C
33.10	1.000	0.350	0.215	0.351	0.282	0.241	0.468	0.451	0.140	0.208	0.210	0.626	C
34.01	0.691	0.318	0.416	0.349	0.614	0.413	0.481	0.546	0.255	0.227	0.283	1.000	B
34.02	0.708	0.353	0.473	0.383	0.603	0.448	0.531	0.583	0.276	0.234	0.294	1.000	B
34.03	0.732	0.413	0.543	0.434	0.596	0.506	0.587	0.643	0.304	0.246	0.314	1.000	B
34.04	0.768	0.501	0.631	0.512	0.601	0.588	0.646	0.731	0.337	0.264	0.337	1.000	B
34.05	0.809	0.614	0.737	0.597	0.623	0.675	0.709	0.825	0.407	0.286	0.367	1.000	B
34.06	0.862	0.750	0.861	0.700	0.655	0.765	0.774	0.944	0.471	0.311	0.402	1.000	B
34.07	0.882	0.872	0.955	0.786	0.678	0.815	0.798	1.000	0.523	0.337	0.421	0.947	G
34.08	0.849	0.943	1.000	0.823	0.667	0.809	0.771	0.967	0.534	0.339	0.407	0.832	D
34.09	0.795	0.972	1.000	0.823	0.630	0.770	0.712	0.879	0.518	0.327	0.378	0.699	D
35.01	0.242	0.156	0.142	0.341	1.000	0.404	0.244	0.153	0.114	0.208	0.135	0.246	E
35.02	0.220	0.147	0.143	0.328	1.000	0.395	0.237	0.148	0.116	0.219	0.128	0.224	E
35.03	0.203	0.141	0.145	0.316	1.000	0.388	0.232	0.146	0.126	0.229	0.128	0.205	E
35.04	0.190	0.135	0.150	0.307	1.000	0.382	0.231	0.147	0.140	0.233	0.136	0.190	E
35.05	0.183	0.133	0.157	0.303	1.000	0.378	0.232	0.153	0.162	0.237	0.152	0.183	E
35.06	0.181	0.140	0.167	0.299	1.000	0.376	0.239	0.165	0.188	0.236	0.167	0.183	E
35.07	0.181	0.150	0.181	0.299	1.000	0.373	0.247	0.182	0.211	0.225	0.179	0.193	E
35.08	0.185	0.169	0.200	0.302	1.000	0.373	0.255	0.209	0.237	0.213	0.189	0.208	E
35.09	0.193	0.191	0.224	0.308	1.000	0.375	0.266	0.237	0.261	0.207	0.202	0.231	E
36.00	0.227	0.402	1.000	0.748	0.408	0.374	0.455	0.328	0.201	0.160	0.236	0.234	D
36.01	0.246	0.400	1.000	0.748	0.418	0.378	0.442	0.335	0.209	0.170	0.243	0.216	D
36.02	0.260	0.402	1.000	0.745	0.440	0.383	0.433	0.339	0.225	0.183	0.255	0.212	D
36.03	0.265	0.407	1.000	0.747	0.464	0.389	0.425	0.354	0.256	0.204	0.271	0.223	D
36.04	0.280	0.424	1.000	0.749	0.490	0.397	0.424	0.377	0.283	0.224	0.293	0.255	D
36.05	0.325	0.445	1.000	0.747	0.509	0.400	0.429	0.410	0.306	0.245	0.319	0.300	D
36.06	0.382	0.472	1.000	0.741	0.527	0.408	0.429	0.441	0.339	0.271	0.350	0.352	D
36.07	0.448	0.506	1.000	0.733	0.556	0.434	0.434	0.474	0.370	0.294	0.381	0.409	D
36.09	0.520	0.546	1.000	0.727	0.597	0.465	0.443	0.517	0.409	0.318	0.413	0.477	D
36.10	0.591	0.589	1.000	0.730	0.640	0.491	0.455	0.559	0.442	0.345	0.446	0.555	D
37.00	1.000	0.250	0.163	0.257	0.368	0.248	0.337	0.262	0.167	0.149	0.191	0.460	C
37.01	1.000	0.249	0.165	0.271	0.392	0.256	0.345	0.276	0.180	0.154	0.199	0.476	C
37.02	1.000	0.251	0.171	0.291	0.407	0.265	0.351	0.294	0.196	0.161	0.209	0.487	C
37.03	1.000	0.258	0.180	0.315	0.415	0.276	0.356	0.322	0.208	0.165	0.218	0.501	C
37.05	1.000	0.273	0.189	0.341	0.410	0.285	0.359	0.353	0.206	0.174	0.229	0.503	C
37.06	1.000	0.286	0.197	0.354	0.402	0.298	0.365	0.386	0.208	0.177	0.235	0.503	C
37.07	1.000	0.304	0.205	0.360	0.401	0.314	0.378	0.423	0.217	0.185	0.246	0.513	C
37.08	1.000	0.324	0.212	0.369	0.408	0.326	0.391	0.461	0.230	0.194	0.262	0.528	C
37.09	1.000	0.343	0.220	0.386	0.424	0.338	0.402	0.497	0.241	0.203	0.278	0.541	C
37.10	1.000	0.361	0.227	0.401	0.439	0.348	0.413	0.533	0.254	0.211	0.295	0.551	C
38.01	0.702	0.687	0.483	1.000	0.754	0.266	0.403	0.565	0.369	0.280	0.381	0.362	D#
38.02	0.728	0.708	0.503	1.000	0.812	0.271	0.401	0.595	0.379	0.292	0.374	0.363	D#
38.03	0.780	0.744	0.539	1.000	0.919	0.284	0.416	0.622	0.401	0.297	0.365	0.390	D#
38.04	0.818	0.782	0.564	0.962	1.000	0.303	0.421	0.647	0.420	0.311	0.345	0.414	E
38.05	0.816	0.773	0.560	0.895	1.000	0.325	0.420	0.625	0.411	0.301	0.315	0.416	E
38.06	0.854	0.785	0.573	0.878	1.000	0.366	0.439	0.645	0.412	0.297	0.313	0.411	E
38.07	0.928	0.825	0.605	0.906	1.000	0.412	0.469	0.689	0.431	0.315	0.324	0.393	E
38.08	0.977	0.871	0.625	0.935	1.000	0.414	0.493	0.721	0.435	0.323	0.333	0.383	E
38.09	0.983	0.878	0.626	0.947	1.000	0.378	0.499	0.741	0.445	0.311	0.332	0.383	E
39.01	0.555	0.417	0.259	0.379	1.000	0.371	0.247	0.455	0.330	0.188	0.219	0.367	E
39.02	0.601	0.448	0.268	0.398	1.000	0.393	0.261	0.505	0.361	0.200	0.233	0.383	E
39.03	0.651	0.480	0.279	0.420	1.000	0.419	0.279	0.559	0.394	0.213	0.249	0.399	E
39.04	0.706	0.513	0.293	0.446	1.000	0.447	0.300	0.619	0.429	0.225	0.265	0.418	E
39.05	0.764	0.547	0.311	0.473	1.000	0.477	0.323	0.685	0.465	0.238	0.282	0.438	E
39.06	0.825	0.582	0.334	0.501	1.000	0.509	0.350	0.755	0.500	0.252	0.298	0.459	E
39.07	0.885	0.619	0.360	0.530	1.000	0.544	0.379	0.828	0.535	0.265	0.314	0.480	E
39.08	0.943	0.653	0.388	0.558	1.000	0.581	0.409	0.903	0.569	0.277	0.326	0.500	E
39.09	0.996	0.684	0.417	0.581	1.000	0.617	0.440	0.977	0.603	0.287	0.336	0.521	E
40.00	1.000	0.884	0.703	0.936	0.650	0.504	0.488	0.602	0.374	0.439	0.482	0.358	C
40.01	1.000	0.839	0.684	0.910	0.627	0.480	0.480	0.584	0.356	0.424	0.463	0.345	C
40.02	1.000	0.799	0.665	0.884	0.608	0.458	0.474	0.567	0.338	0.409	0.444	0.342	C
40.03	1.000	0.763	0.645	0.857	0.590	0.440	0.467	0.550	0.320	0.393	0.425	0.343	C
40.04	1.000	0.731	0.626	0.829	0.575	0.425	0.460	0.533	0.302	0.377	0.405	0.348	C
40.05	1.000	0.700	0.605	0.801	0.561	0.411	0.454	0.516	0.284	0.362	0.385	0.354	C
40.06	1.000	0.669	0.584	0.771	0.548	0.398	0.450	0.499	0.268	0.348	0.367	0.363	C
40.07	1.000	0.637	0.561	0.740	0.534	0.386	0.447	0.483	0.251	0.333	0.350	0.373	C
40.09	1.000	0.603	0.539	0.709	0.521	0.373	0.444	0.467	0.234	0.319	0.335	0.382	C
40.10	1.000	0.570	0.516	0.678	0.507	0.361	0.445	0.453	0.220	0.305	0.320	0.392	C
41.00	1.000	0.900	0.664	0.693	0.622	0.322	0.530	0.703	0.392	0.424	0.560	0.901	C
41.01	1.000	0.895	0.661	0.698	0.626	0.322	0.532	0.706	0.390	0.425	0.564	0.935	C
41.02	1.000	0.890	0.658	0.706	0.633	0.326	0.540	0.709	0.387	0.428	0.569	0.988	C
41.03	0.947	0.838	0.621	0.679	0.607	0.313	0.521	0.677	0.365	0.410	0.546	1.000	B
41.05	0.882	0.776	0.577	0.644	0.574	0.297	0.496	0.635	0.340	0.389	0.516	1.000	B
41.06	0.817	0.718	0.535	0.609	0.543	0.282	0.471	0.597	0.317	0.369	0.486	1.000	B
41.07	0.755	0.665	0.496	0.576	0.514	0.269	0.447	0.565	0.297	0.349	0.459	1.000	B
41.08	0.694	0.614	0.459	0.546	0.490	0.257	0.425	0.536	0.279	0.330	0.434	1.000	B
41.09	0.637	0.566	0.423	0.517	0.467	0.246	0.406	0.509	0.263	0.312	0.412	1.000	B
41.10	0.583	0.523	0.390	0.492	0.446	0.238	0.388	0.484	0.248	0.296	0.391	1.000	B
42.01	0.512	0.329	0.372	0.562	1.000	0.442	0.300	0.513	0.231	0.256	0.219	0.540	E
42.02	0.479	0.298	0.329	0.514	1.000	0.416	0.279	0.484	0.213	0.242	0.216	0.531	E
42.03	0.448	0.271	0.291	0.471	1.000	0.391	0.259	0.462	0.197	0.229	0.214	0.525	E
42.04	0.420	0.244	0.256	0.423	1.000	0.364	0.242	0.437	0.186	0.219	0.203	0.522	E
42.05	0.389	0.214	0.224	0.374	1.000	0.343	0.226	0.407	0.176	0.211	0.196	0.515	E
42.06	0.372	0.190	0.196	0.338	1.000	0.331	0.214	0.387	0.162	0.209	0.188	0.502	E
42.07	0.338	0.168	0.166	0.300	1.000	0.312	0.204	0.365	0.149	0.201	0.185	0.486	E
42.08	0.296	0.145	0.141	0.262	1.000	0.283	0.193	0.338	0.144	0.183	0.179	0.469	E
42.09	0.268	0.127	0.126	0.234	1.000	0.271	0.185	0.320	0.134	0.174	0.171	0.457	E
43.01	0.687	0.330	0.327	0.441	0.722	0.439	0.664	1.000	0.473	0.295	0.260	0.760	G
43.02	0.670	0.305	0.308	0.428	0.682	0.429	0.643	1.000	0.476	0.297	0.261	0.775	G
43.03	0.649	0.279	0.276	0.416	0.642	0.425	0.632	1.000	0.482	0.298	0.261	0.794	G
43.04	0.629	0.256	0.244	0.406	0.622	0.418	0.619	1.000	0.490	0.300	0.262	0.810	G
43.05	0.618	0.240	0.223	0.407	0.624	0.415	0.613	1.000	0.507	0.309	0.267	0.843	G
43.06	0.605	0.225	0.201	0.408	0.624	0.412	0.611	1.000	0.527	0.318	0.276	0.877	G
43.07	0.590	0.214	0.184	0.415	0.620	0.403	0.609	1.000	0.542	0.326	0.286	0.900	G
43.08	0.577	0.205	0.172	0.423	0.615	0.385	0.606	1.000	0.560	0.338	0.296	0.916	G
43.09	0.571	0.203	0.159	0.447	0.616	0.368	0.599	1.000	0.579	0.348	0.308	0.933	G
44.00	1.000	0.307	0.229	0.306	0.350	0.214	0.216	0.331	0.210	0.145	0.259	0.559	C
44.01	1.000	0.289	0.235	0.303	0.332	0.199	0.213	0.327	0.194	0.137	0.248	0.555	C
44.02	1.000	0.269	0.244	0.297	0.309	0.188	0.210	0.311	0.187	0.128	0.235	0.546	C
44.03	1.000	0.255	0.252	0.290	0.289	0.180	0.206	0.302	0.180	0.126	0.224	0.538	C
44.04	1.000	0.247	0.259	0.287	0.273	0.171	0.203	0.294	0.176	0.122	0.217	0.529	C
44.05	1.000	0.242	0.258	0.281	0.257	0.160	0.198	0.285	0.169	0.120	0.211	0.515	C
44.06	1.000	0.238	0.251	0.271	0.243	0.149	0.190	0.274	0.164	0.116	0.205	0.497	C
44.07	1.000	0.233	0.233	0.255	0.232	0.138	0.183	0.259	0.158	0.111	0.199	0.474	C
44.09	1.000	0.228	0.209	0.234	0.222	0.129	0.175	0.245	0.154	0.106	0.195	0.447	C
44.10	1.000	0.220	0.181	0.211	0.212	0.119	0.167	0.232	0.149	0.101	0.191	0.420	C
45.00	0.312	0.210	0.172	0.263	0.270	0.207	0.274	0.303	0.119	0.160	0.260	1.000	B
45.01	0.289	0.189	0.164	0.253	0.262	0.197	0.268	0.282	0.114	0.151	0.246	1.000	B
45.02	0.267	0.173	0.155	0.242	0.254	0.189	0.263	0.261	0.110	0.140	0.235	1.000	B
45.03	0.246	0.161	0.145	0.231	0.247	0.177	0.258	0.242	0.108	0.127	0.227	1.000	B
45.05	0.232	0.153	0.136	0.225	0.234	0.170	0.252	0.226	0.103	0.120	0.218	1.000	B
45.06	0.223	0.144	0.129	0.212	0.219	0.164	0.247	0.209	0.100	0.114	0.212	1.000	B
45.07	0.217	0.137	0.122	0.201	0.208	0.159	0.245	0.194	0.099	0.111	0.209	1.000	B
45.08	0.211	0.128	0.117	0.191	0.197	0.156	0.244	0.184	0.098	0.108	0.208	1.000	B
45.09	0.205	0.119	0.114	0.179	0.188	0.153	0.243	0.175	0.096	0.108	0.207	1.000	B
45.10	0.201	0.111	0.112	0.174	0.178	0.151	0.242	0.168	0.094	0.110	0.204	1.000	B
46.01	0.192	0.199	0.149	0.234	1.000	0.199	0.239	0.210	0.095	0.076	0.155	0.341	E
46.02	0.180	0.188	0.142	0.223	1.000	0.195	0.230	0.198	0.090	0.073	0.149	0.327	E
46.03	0.169	0.177	0.134	0.214	1.000	0.190	0.223	0.186	0.081	0.070	0.143	0.314	E
46.04	0.158	0.169	0.128	0.207	1.000	0.186	0.215	0.177	0.072	0.068	0.138	0.302	E
46.05	0.148	0.161	0.125	0.199	1.000	0.181	0.209	0.170	0.065	0.066	0.134	0.289	E
46.06	0.140	0.153	0.124	0.190	1.000	0.177	0.203	0.165	0.059	0.065	0.130	0.278	E
46.07	0.132	0.148	0.124	0.185	1.000	0.173	0.198	0.156	0.056	0.064	0.125	0.268	E
46.08	0.124	0.143	0.123	0.183	1.000	0.168	0.193	0.150	0.054	0.065	0.122	0.259	E
46.09	0.118	0.139	0.119	0.181	1.000	0.164	0.189	0.146	0.056	0.064	0.118	0.250	E
47.01	0.438	0.332	0.316	0.514	0.478	0.386	0.673	0.929	0.643	0.368	0.457	1.000	B
47.02	0.436	0.334	0.329	0.541	0.547	0.421	0.691	0.934	0.637	0.377	0.468	1.000	B
47.03	0.435	0.341	0.349	0.580	0.647	0.473	0.713	0.942	0.632	0.390	0.482	1.000	B
47.04	0.434	0.349	0.377	0.633	0.780	0.545	0.737	0.952	0.628	0.402	0.501	1.000	B
47.05	0.436	0.362	0.416	0.704	0.952	0.643	0.763	0.969	0.627	0.415	0.525	1.000	B
47.06	0.381	0.329	0.397	0.675	1.000	0.658	0.677	0.852	0.535	0.366	0.471	0.855	E
47.07	0.336	0.311	0.365	0.619	1.000	0.643	0.569	0.719	0.432	0.305	0.400	0.697	E
47.08	0.311	0.298	0.339	0.571	1.000	0.630	0.478	0.618	0.348	0.253	0.340	0.571	E
47.09	0.300	0.289	0.320	0.529	1.000	0.617	0.416	0.543	0.282	0.210	0.291	0.479	E
48.00	1.000	0.172	0.120	0.160	0.110	0.101	0.193	0.174	0.054	0.097	0.116	0.297	C
48.01	1.000	0.164	0.117	0.159	0.111	0.099	0.190	0.165	0.053	0.091	0.110	0.274	C
48.02	1.000	0.156	0.117	0.161	0.114	0.098	0.187	0.158	0.054	0.087	0.105	0.252	C
48.03	1.000	0.147	0.118	0.164	0.118	0.097	0.186	0.153	0.058	0.086	0.100	0.231	C
48.04	1.000	0.139	0.120	0.168	0.122	0.097	0.187	0.150	0.064	0.086	0.096	0.213	C
48.05	1.000	0.131	0.123	0.172	0.127	0.098	0.188	0.149	0.071	0.089	0.092	0.195	C
48.06	1.000	0.124	0.127	0.177	0.132	0.100	0.191	0.154	0.079	0.092	0.089	0.179	C
48.07	1.000	0.119	0.132	0.183	0.137	0.102	0.193	0.163	0.087	0.096	0.088	0.165	C
48.09	1.000	0.115	0.139	0.189	0.142	0.104	0.195	0.174	0.095	0.100	0.093	0.152	C
48.10	1.000	0.112	0.147	0.195	0.147	0.107	0.198	0.184	0.103	0.105	0.098	0.142	C
49.00	0.239	0.117	0.084	0.152	0.195	0.175	0.295	0.253	0.101	0.106	0.169	1.000	B
49.01	0.218	0.109	0.089	0.156	0.196	0.182	0.297	0.249	0.100	0.110	0.164	1.000	B
49.02	0.200	0.105	0.097	0.161	0.205	0.190	0.300	0.247	0.100	0.115	0.158	1.000	B
49.03	0.186	0.102	0.104	0.166	0.218	0.197	0.303	0.247	0.104	0.127	0.157	1.000	B
49.05	0.178	0.097	0.112	0.172	0.218	0.205	0.304	0.248	0.109	0.136	0.159	1.000	B
49.06	0.186	0.097	0.118	0.177	0.233	0.217	0.306	0.253	0.118	0.151	0.162	1.000	B
49.07	0.200	0.107	0.125	0.184	0.242	0.227	0.307	0.259	0.126	0.166	0.162	1.000	B
49.08	0.216	0.123	0.143	0.193	0.251	0.230	0.306	0.269	0.135	0.177	0.171	1.000	B
49.09	0.227	0.139	0.163	0.206	0.258	0.255	0.306	0.277	0.146	0.193	0.171	1.000	B
49.10	0.238	0.149	0.193	0.225	0.270	0.263	0.314	0.290	0.155	0.208	0.180	1.000	B
50.01	0.234	0.257	0.410	0.366	0.391	0.410	0.457	1.000	0.417	0.283	0.250	0.189	G
50.02	0.239	0.243	0.400	0.350	0.379	0.395	0.445	1.000	0.395	0.288	0.239	0.173	G
50.03	0.229	0.239	0.399	0.346	0.353	0.392	0.439	1.000	0.361	0.287	0.223	0.168	G
50.04	0.228	0.245	0.400	0.339	0.332	0.382	0.441	1.000	0.370	0.288	0.214	0.160	G
50.05	0.218	0.257	0.390	0.342	0.298	0.378	0.428	1.000	0.390	0.299	0.209	0.158	G
50.06	0.243	0.272	0.402	0.358	0.286	0.378	0.422	1.000	0.394	0.323	0.205	0.162	G
50.07	0.240	0.288	0.412	0.370	0.292	0.375	0.421	1.000	0.385	0.337	0.214	0.155	G
50.08	0.238	0.306	0.433	0.385	0.287	0.383	0.439	1.000	0.441	0.361	0.247	0.157	G
50.09	0.247	0.323	0.458	0.398	0.305	0.399	0.474	1.000	0.477	0.382	0.226	0.144	G
51.01	0.492	0.668	0.970	0.853	0.836	0.782	0.716	1.000	0.674	0.495	0.389	0.404	G
51.02	0.501	0.700	0.982	0.850	0.818	0.790	0.738	1.000	0.688	0.496	0.381	0.404	G
51.03	0.464	0.688	1.000	0.832	0.773	0.813	0.746	0.984	0.667	0.486	0.363	0.411	D
51.04	0.448	0.671	1.000	0.830	0.726	0.808	0.705	0.975	0.643	0.476	0.350	0.435	D
51.05	0.416	0.641	1.000	0.796	0.673	0.823	0.667	0.935	0.607	0.455	0.361	0.415	D
51.06	0.418	0.625	1.000	0.772	0.628	0.828	0.654	0.921	0.593	0.445	0.349	0.400	D
51.07	0.408	0.592	1.000	0.747	0.571	0.808	0.672	0.898	0.576	0.447	0.330	0.442	D
51.08	0.404	0.571	1.000	0.713	0.560	0.796	0.677	0.881	0.583	0.446	0.326	0.457	D
51.09	0.393	0.557	1.000	0.718	0.580	0.767	0.692	0.882	0.597	0.463	0.338	0.478	D
52.00	0.217	0.236	0.178	0.329	1.000	0.392	0.432	0.322	0.392	0.344	0.326	0.197	E
52.01	0.209	0.230	0.165	0.321	1.000	0.378	0.415	0.306	0.398	0.333	0.311	0.211	E
52.02	0.203	0.215	0.171	0.323	1.000	0.375	0.411	0.303	0.390	0.360	0.320	0.215	E
52.03	0.187	0.208	0.176	0.323	1.000	0.360	0.386	0.273	0.407	0.366	0.300	0.197	E
52.04	0.187	0.224	0.181	0.315	1.000	0.355	0.379	0.254	0.400	0.406	0.294	0.201	E
52.05	0.179	0.215	0.188	0.309	1.000	0.346	0.366	0.239	0.382	0.426	0.302	0.194	E
52.06	0.175	0.218	0.189	0.296	1.000	0.315	0.329	0.221	0.357	0.443	0.258	0.202	E
52.07	0.166	0.222	0.197	0.282	1.000	0.303	0.319	0.221	0.318	0.458	0.278	0.196	E
52.09	0.155	0.220	0.201	0.274	1.000	0.292	0.310	0.209	0.300	0.466	0.248	0.194	E
52.10	0.152	0.223	0.207	0.249	1.000	0.288	0.290	0.206	0.276	0.474	0.246	0.186	E
53.00	0.402	0.616	0.364	0.571	1.000	0.659	0.655	0.642	0.505	0.764	0.362	0.348	E
53.01	0.356	0.458	0.320	0.434	1.000	0.636	0.587	0.578	0.448	0.695	0.294	0.323	E
53.02	0.328	0.449	0.300	0.399	1.000	0.597	0.537	0.512	0.423	0.674	0.300	0.312	E
53.03	0.303	0.415	0.280	0.353	1.000	0.536	0.483	0.461	0.404	0.645	0.276	0.316	E
53.05	0.288	0.358	0.267	0.346	1.000	0.480	0.460	0.414	0.374	0.629	0.238	0.290	E
53.06	0.273	0.364	0.238	0.342	1.000	0.456	0.434	0.378	0.346	0.619	0.235	0.277	E
53.07	0.264	0.348	0.221	0.345	1.000	0.413	0.402	0.347	0.338	0.632	0.222	0.249	E
